old,new,speaker
"ガラクタ集めぇ？
あぁ――確かに副業でやってるよ
拾ったガラクタやら盗品を買い取ってるんだ",,Johoya
"鉄くずなんかは結構金になってねえ――
英雄サマはゴミに興味があるのかい？",,Johoya
"メモの書き付けられたノート？
あぁ、ちょうど入りたてのヤツがあるねぇ
確かに、特徴はあんたの話と一致しているヤツさ",,Johoya
"だがね――タダって訳にはいかないよねぇ
こっちも商売でやってるから
わかるよねぇ",,Johoya
困りごとを解決する,,Johoya
わからない,,Johoya
これだよこれ――ありがとよ,,Johoya
さてと――次はあたしの番だね,,Johoya
"はい、これがあんたの欲しいノートだよ
どこからか子供が拾ってきたから
小遣いを渡して買い取ったのさ――感謝しとくれよ",,Johoya
"それにしても、誰のか分からないメモなんて
ずいぶんと趣味の悪い物を欲しがるんだねぇ
でも、この文体――
どこかで見たことがあるような気もするんだけど",,Johoya
"ま、いいさ――
また何か落し物を探したいときはおいで
だいたいあたしの所に集まってるから",,Johoya
"まだ何かあるのかい？
仕事の話なら明日来てくれないかい
今日は疲れた――店仕舞いさ",,Johoya
おい、奴らが何か落としたぞ――？,,Mephis
"覚者さん、諜報お疲れ様です！
何か気付いたことあったかな――
あ、そういえば",,Shem
"この間、憲兵と大衝突しちゃったんですよ！
ラッキーなことに、相手が姉さんの知り合い
だったみたいで何事も無かったんですけど――",,Shem
"その時に、憲兵隊の報告書――のような物を
落としていたんです！
あれに、日々の活動報告が書かれているなら
何かの役に立ちそうじゃないですか？",,Shem
"その場は返しちゃったんですけど――
もし、いつも持ち歩いているのなら
奪えるかもしれないですよ！
たまには憲兵とぶつかってみるのはどうです？",,Shem
うう――た、助けてくれ,,Scared Man
"<NPC 3273>を知ってるか？
メガドで武具屋をやっている男だ――
そいつを呼んできてくれないか",,Scared Man
"こいつはお前が会ったという脱獄囚か？
　　　　　急いで<NPC 3273>を呼んでやれ！",,Mephis
<NPC 3273>を呼んだぞ――戻ってみよう,,Mephis
くそ、憲兵どもめ――！,,Mephis
奴らを許すな――,,Mephis
"憲兵の奴らは、仲間だろうと反抗や失敗には
容赦がないって話は聞いたことがある
きっと、何かやらかして
逃げ出してきたんだな――",,Ilmaz
"――あ、あぁ覚者さんすみませんね
こいつは、幼馴染だったんです
会ったのは数年ぶりだが――
最期を悟って私を呼んでくれたんですね",,Ilmaz
"その手記は、きっとあなたなら
有効活用してくれると思って
託したのでしょう
――無駄にはしないでください",,Ilmaz
おや――こんな時間にどうしました？,,Ilmaz
"え？
わたしを連れて来てほしいと
傷だらけの男に頼まれた？
はて、奇妙ですね",,Ilmaz
"――まさか
場所はどこなんです！？",,Ilmaz
"――――
わかりました
すぐに向かいましょう！",,Ilmaz
"う、うぅ
あんた――そこのあんた",,Scared Man
"<NPC 3273>を知ってるか？
メガドで武具屋をやっている男だ――
そいつを呼んできてくれないか",,Scared Man
"ちょ、ちょっと怪我しちまってるだけだ
アンタを巻き込むわけにはいかねぇ
頼む――<NPC 3273>を呼んでくれ",,Scared Man
だ、だれか助けてくれぇぇぇぇ！！,,Scared Man
"うう――覚者さん、俺はもうだめだ――
これを受け取ってくれ――",,Scared Man
"憲兵隊に入れば、一生安泰だと思ったのに
あんなちょっとしたミスで投獄されて――
頼む、それを公表して憲兵隊の実態を
知らしめてくれ",,Scared Man
"そ、そんな
どうしてこんな酷い目に――
お袋さんのため憲兵隊に入ったはずじゃ――",,Ilmaz
"覚者さん、どうやら憲兵隊が
バタバタしているらしい――
使えそうな情報を聞いたぜ",,Jan
"なんでも、憲兵が捕えた奴らの中から
脱獄囚が出たらしい
――しかも、そいつが逃げ出したのは
二度目らしいぞ",,Jan
"――おい、もしかしてあんた
そいつに心当たりがあるのかい？
まだ逃走中だそうだから
探してみれば会えるかもなぁ？",,Jan
"まぁ、俺が脱獄囚なら――
人気の少ない廃墟や、路地に隠れるかな
ま、今も憲兵が捜索中だそうだから
奴らには気を付けろよ",,Jan
"ここに座っているとな――
息子が暗闇の中に見える気がするんじゃ",,Vernon
"――こんなことしていたら
憲兵さんに怪しまれてしまうんじゃがなぁ
ぼちぼち戻るとするかのう",,Vernon
"おや、あなたは――覚者さんじゃないかね
こんな時間にウロウロしていては
いくら覚者さんと言えど
憲兵さんに逮捕されてしまいますぞ",,Vernon
"ワシは――亡くした息子のことを考えていたんじゃ
男手一つで立派に育て上げて
憲兵隊に送り出したんじゃが――",,Vernon
"それから連絡が取れなくなってしまってのう
――半ば諦めておる",,Vernon
"いつまでも過去にすがっていては
いけないと分かってはいるんじゃがな
ろくな形見も無いのが悔しゅうて――",,Vernon
"覚者さん、よければこの<COL ff2600>お守り</COL>を受け取ってくだされ
息子が発つ時、渡し損ねたものなんじゃが――
話を聞いてくださったお礼として――",,Vernon
"お守り、まだ持っていてくださっておるかの？
きっと覚者さんを護ってくださるじゃろうて
――それに、あの子も喜ぶはずじゃ",,Vernon
"あ、あのさ――
俺のこと、覚えてるか？
昼間助けてもらった<NPC 3259>っていうんだけど",,Jan
"――ちょっと噂で聞いたんだけど
あんたたち、裏で侯爵を潰すための
活動をしてるって？",,Jan
"いや、脅そうってんじゃねえよ
逆だよ――俺も力になれねえかな？
オークの次は人間にビクビクしなきゃ
いけない状況に、うんざりしてるんだ",,Jan
"それに、昼間あんたに助けられて――
本当に“人を助ける人”なんだって感じたんだ
相手がどう見えるかなんて関わらず、さ",,Jan
"だから、そんなあんたに協力することが
メガドのためになるはずだ
帰る家の無い子供たちのためにも、だ
そう心から思えた",,Jan
"情報収集や潜入、もちろん腕っぷしにも
そこそこ自信はある
――どうだ？",,Jan
<NPC 3259>を仲間に迎える,Accept <NPC 3259> as a friend,Jan
少し考えさせてくれ,I will think a bit,Jan
――――！,,Jan
"ありがとう――
俺にできることなら何でも言ってくれ",,Jan
"おう、覚者さん
諜報活動中か？",,Jan
"俺の方も、周りの奴らに
探りを入れたりしてるんだが――
今の所、有力な情報は無いな",,Jan
"引き続き、聞き込みしてみるぜ
何かあったら伝えるよ",,Jan
"あら、覚者さんにメフィスさん
諜報中なの？
ご苦労様！",,Karen
"私は今、集会所に備蓄しておく
食料を買ってきたところなのよ
この先、何があるかわからないでしょ？",,Karen
"私の方でも、何か情報を手に入れたら
一番に知らせるわね！",,Karen
"あ、覚者さん！
もしかして今、諜報中ですか？
憲兵には気を付けてくださいね",,Shem
"僕も、一応周りの知り合いに
探りを入れたりして調べてるんです",,Shem
"何か、使えそうなことを聞いたら
覚者さんにお知らせしますね！",,Shem
"よし、尋問に必要な証拠は揃ったな
　　　　　早いところ戻るとしよう",,Mephis
さぁ、今日もやるか,,Mephis
