old,new,speaker
"――ははぁ、また憲兵の奴らね？
最近デカい顔しちゃって
嫌～な感じなのよねぇ",,Serine
"この間も、「髪が短すぎる」とか
「首飾りが派手すぎる」とか――
口うるさいのよね
放っておいてよ、ってカンジ！",,Serine
"だいたい、侯爵様がちゃんと
管理しないから――
――アラやだ",,Serine
"今のは内緒にしてねぇ
今度お店に来てくれた時に
ネイルケアでもサービスするから！",,Serine
"確かに憲兵のやり方は厳しく見えるが
ああいう態度になってしまうのも
仕方ないんだ",,Murad
"またいつオークが攻めてくるとも
分からないだろう？",,Murad
"だから、人間たちの団結を乱すような
行いを戒める機関は必要なんだ
少し過剰なようにも思えるが――",,Murad
"きっと<NPC 681>様もそのような
お考えで、憲兵に強い権限を
与えているのだろう",,Murad
"なんです、一体なんなんです？
ジャンと憲兵さんが揉めてたとか？",,Muget
"それならきっと憲兵さんのせいでしょう
ジャンはああ見えて
結構優しいんですよ～
自分から喧嘩を売るような人じゃないわ",,Muget
"ああそうそう、わたしも一度
憲兵に絡まれたことがあるんです
ちょっと捻り上げたら泣いて逃げていきましたけど",,Muget
"王国兵はわれ関せず、って感じで
頼りにならないし――
自分の身は自分で守れってことですね～",,Muget
"ふむ、そんなことが――
またしても覚者殿のおかげ
という訳ですね",,Navido
"そのゴロツキまがいの憲兵は
こちらで調査し、処罰いたします
本当に――お手数おかけしましたな",,Navido
"いやはや、実は私が直々に管理している憲兵隊も
志願者が日々増加しておりましてな
一人一人の教育までは行き届いていないと
言わざるを得ない状況なのです",,Navido
"市民を団結させ、悪の芽を未然に
摘み取ることが憲兵隊の存在意義――
それを理解しないまま志願する者が
いるのは残念なことです",,Navido
"話が長くなりましたな
お帰りでしたら、お送りいたしますぞ",,Navido
――――――,,Navido
"エニス、エニス！
お客人がお帰りだ！
――送迎の用意を！！",,Navido
――――,,Mephis
"――――
――ふむ",,Mephis
"あくまで憲兵隊の存在は
市民のためと言い張るつもりか――
クソ、偽善者め！",,Mephis
"しかし、その話を聞いた感じだと
ジャンとかいう奴を始め――
<NPC 681>どもに反発心を抱く者は
多そうだな",,Mephis
"真昼間の勧誘はさすがに危険だが――
<COL ff2600>夜の《諜報活動》中、仲間になりそうな者を
見つけたら迷わず勧誘してくれ</COL>",,Mephis
"彼らは街で情報収集や
諜報の手助けをしてくれるはずだ",,Mephis
"引き続き、<NPC 681>の元で
情報を集め続けてくれ
――レジスタンスのことは口外するなよ",,Mephis
