old,new,speaker
手を差し伸べる,Extend a hand,Peco
もっと近寄る,Get closer,Peco
"ギッ！？　ヤメデ！
悪いコト、シテナイダカラ",,Peco
"出てク――すぐ出てクカラ
オマエ、何も見ナカッタ！",,Peco
"フガ！？　来るナ！
見てたダケ――悪いコト、シテナイ",,Peco
チョット、チカくで見てたダケ！,,Peco
"悪いコト、シテナイ！
オマエ、アッチいって！",,Peco
え？　ペコがこの食堂にいるの？,,Carrie
"――隠れてないで出てこればいいのに
何で隠れるんだろうね？
アタシたち、あの子をいじめたこともないんだからさ",,Carrie
"それにしても、アジトへの食料運搬
大変だったよね――
ピレモスまでの道のりとは
一味違うって感じだった",,Carrie
"外での食料探しと食料運搬――
かなり慣れたと思ってたけど
やっぱりアタシひとりじゃ到底無理だわ",,Carrie
"覚者さん、これからも手を貸してね
自分ひとりじゃできないことを
図々しいって思われるかもしれないけど――
飢える人を少しでも減らしたいんだ",,Carrie
