old,,english,speaker
"わたしを遠くに連れ出したことで
みんな怒っているから教えてくれないの？",Why won't you tell me? Is it because everyone is angry with you for taking me far away?,,Mayleaf
"どうしよう――ミシアルが――
でも、お願い――イリスを怒らないで！","What should I do―― Mysial――
But, please―― Do not make Iris angry!",,Mayleaf
"ミシアルみたいに白竜と仲良くなるよ
応援して――ね？","I'll become friends with the White Dragon like Mysial.
I hope you support me――okay?",,Mayleaf
"わたしじゃダメかもしれないけど
それでも応援してね","I might not be good enough,
but please support me anyway.",,Mayleaf
"みんな行っちゃうの？
ちゃんと帰ってきてね？","Are you all leaving?
You'll come back, won't you?",,Mayleaf
もう、誰もいなくなったら、いやだよ？,I don't want everyone to disappear already.,,Mayleaf
"力を貸してください――って
白竜様にお祈りしてるの","I'm praying to the White Dragon to help me--
",,Mayleaf
でも、全然起きてくれないの,But they still won't wake up at all.,,Mayleaf
"がんばれ！
がんばれっ！",Do your best! Do your best!,,Mayleaf
"おかえりなさい！
ええと、わたしね――ええと――","Welcome back! Um, as for me... um...",,Mayleaf
"あ、ごめんなさい
わたしじゃなくて、まず、白竜様だよね？","Oh, I'm sorry. It's not me, but The White Dragon first, right?",,Mayleaf
白竜様も、早く元気になるといいね,I hope The White Dragon gets well soon.,,Mayleaf
"黒騎士はどこへ行ったの？
行方がわからないなんてこわい！",Where did The Black Knight go? It's scary not knowing their whereabouts!,,Mayleaf
リズ、もう聞こえていないみたい――,"Lise, I don't think he can hear me anymore—",,Mayleaf
隊長さん、気をつけてね,"Captain, be careful.",,Mayleaf
全部終わったんだよね？,Is it all finished?,,Mayleaf
"こわいことや悲しいことは
もう起こらないんだよね？","Scary and sad things won't happen anymore, right?",,Mayleaf
