old,,english,speaker
"ネド王子、気張りすぎじゃないのかい？
ありゃ、大丈夫かね","Prince Nedo, aren't you trying too hard? Oh dear, are you okay?",,Bertha
"とにかくね、敵にここまで来られたら
どうしようもないよ","Anyway, if the enemy manages to come this far, there's nothing we can do.",,Bertha
それを忘れずに戦っておくれ,Remember that and keep fighting.,,Bertha
"“悪しき竜”と対峙したことで王子はどうやら
気持ちが大きくなっているようだ","It seems that the prince is feeling better after confronting the ""evil dragon.""",,Bertha
これは危険な兆候だよ,This is a dangerous sign.,,Bertha
入り口だ通路だと王家は隠し事が多いね,"Entrances, corridors, the royal family has a lot to hide.",,Bertha
"それを暴くのがわたしたちの
楽しみなんだけどさ",That's what we're looking forward to uncovering.,,Bertha
入り口だ通路だと王家は隠し事が多いね,"Entrances, corridors, the royal family has a lot to hide.",,Bertha
"それを暴くのがわたしたちの
楽しみなんだけどさ",That's what we're looking forward to uncovering.,,Bertha
"城に忍び込むなんてのは何度もしたけど
斬り込んで行くなんて初めてだ","I've snuck into the castle many times before, but this is my first time sneaking in and attacking.",,Bertha
正直に言って――胸がおどるよ,To be honest... my heart is pounding.,,Bertha
"奪われたものは、ひとつひとつ
取り戻せばいいのさ","What was taken from us, one by one, we'll get back.",,Bertha
盗賊のあたしが言うことじゃないがね,"As a bandit, it's not my place to say, but you know.",,Bertha
"メガドは王都だからね
それはそれは豊かな町だったよ
盗賊の修行の場さ","Because Megado is the Royal Capital, it was a very prosperous city. This is the training ground for thieves.",,Bertha
厄介なことになりそうだねえ,Sounds like it's going to be tricky.,,Bertha
北の盗賊たちと一緒にあたしも行くよ,I'll go with the thieves from the north.,,Bertha
"どうしたんだい
顔色が冴えないね",What's wrong? You look pale,,Bertha
"ああ戻ったんだね
やっぱりあんたたちがいてくれないと
背中が不安だよ",Oh you're back. I still need you guys. I'm worried about my back.,,Bertha
"解放軍は再編成中さ
でもね、どんなに頑張ったって
あんたたちのいない穴は埋まらない","The Liberation Army is regrouping but you know, no matter how hard we try we can't fill the hole without you guys.",,Bertha
"そっちにも事情はあるだろうけど
最後まで付き合ってもらうよ","You may have your own circumstances, but please stay with me until the end.",,Bertha
"あとは“悪しき竜”だね
ちょっと遠回りしちまったけど
一歩一歩、追い詰めているはずだよ","The Evil Dragon is the only thing remaining. Although we took a little detour; Step by step, we should be cornering it.",,Bertha
"初めて会った頃に比べたら王子は
成長した――そう思った矢先のこれだよ","Compared to when we first met, the prince has grown— that's what I thought, and just as I did, this happened.",,Bertha
"こんな行動をするなんて
まだまだ子供だってことなんだろうね",Don't act like this. It shows that you're still a child.,,Bertha
"初めて会った頃に比べたら王子は
成長した――そう思った矢先のこれだよ","Compared to when we first met, the prince has grown— that's what I thought, and just as I did, this happened.",,Bertha
"こんな行動をするなんて
まだまだ子供だってことなんだろうね",Don't act like this. It shows that you're still a child.,,Bertha
孫たちが世話になったね,Thanks for taking care of the grandchildren.,,Bertha
"おっと――
こんな月並みな礼をしちまうとは
あたしも歳を取ったねえ",Oops-- I can't believe I'm resorting to such a clichéd gesture. I guess I'm getting old.,,Bertha
"王子の不在が噂になり始めたよ
あんたらの耳にも入ると思うけど
放っておきな","The absence of the prince has started to become a rumor, you know. But just leave it alone.",,Bertha
あたしがなんとかするからさ,I'll take care of it.,,Bertha
"人生ってのはほんと気紛れだね
何が起こるかわからない","Life is really unpredictable.
You never know what will happen.",,Bertha
"ああ、この歳になっても
驚くようなことはまだまだいっぱい起こるよ","Oh, even at this age, there are still many surprising things happening.",,Bertha
"城内は静かなものさ
みんな自分を見つめ直しているんだろうね","The inside of the castle is quiet.
Everyone is reflecting on themselves.",,Bertha
"王子は重要人物には違いないけど
主人公は解放軍のひとりひとりだ
王子のことばかり思っちゃいられないさ","The prince must be an important person, but the hero is one of the liberation army too.
You can't think only about the prince.",,Bertha
"フィンダムの竜に起こったことを
小耳に挟んだよ",I heard a rumor about what happened to Phindym's dragon.,,Bertha
"フィンダムへ行って、話を聞いた方が
良さそうだね",Sounds like it would be better to go to Phindym and talk to them.,,Bertha
