"Jp","En"
"――そういえば、さきほど復活力を
授けた覚者様が《弱化の治療》のため
宿に行かれたのですが、その方を宿屋の主
バートンが探しておられるようなのです","Speaking of which, an Arisen I recently
blessed went to the inn for 《Treat Weakness》
the innkeeper, Barton, seems to
be looking for them."
"何かお困りのようでしたので
一度、《宿場区》にいるバートンのもとを
訪れてみてください","He appears troubled, so please visit
Barton in the 《Relay Station District》."
"申し訳ありませんが、よろしくお願いいたします","My apologies, but I appreciate your help."
"いかがでしょう、バートンの悩み
は解決できそうでしょうか？","How goes it? Can you resolve Barton's
problem?"
"バートンは《宿場区》にいるので
訪れてみてください","Barton is in the 《Relay Station District》.
Please visit him."
"おや、どうしましたかな覚者さま
――ふむふむ、オフィリアさまから
相談にのってあげてほしいと？","Oh, what is it, Master Arisen? Hmm,
Ophelia asked you to talk to me?"
"わざわざすいません
実は先ほど、泊まられた覚者さまが
所持品を無くされたようで
どこかにないか探してるのです","Sorry to trouble you.
An Arisen guest lost some belongings earlier. 
I'm searching but haven't found them yet."
"店の信用にもかかわるので
わたし自身も探しているのですが――
といっても、こんなオークたちが暴れてる
状況でして商売が忙しく、手も回らずで","The inn's reputation could suffer, 
so I said I would help. But with the
Orcs running amok, I'm so busy with things here.
I can't spare the time."
"しかも、肝心の探し物の内容を
聞き忘れてしまいまして――","What's worse, I forgot to ask what exactly
was lost..."
"その覚者さまはバザーのメルにも相談していたので
彼女なら何か知っているかもしれません
もしよろしければ
探してもらえないでしょうか？","That Arisen also spoke to Mel at the Bazaar.
She might know something.
Could you investigate if possible?"
"無くした物が見つかるまでは
私も心配でしょうがありません","Until the lost item is found,
I'll be worried sick."
"誰か知ってる人はいないでしょうかね
困ったもんです","Does anyone know anything?
I'm at a loss."
"こんにちは、覚者様
――宿屋のバートンさんの探し物のことを
知らないかですって？
たしか探し物って《ケモノ生肉》ですよね？","Hello, Ser Arisen. 
Barton's customer's lost item?
Wasn't it 《Beast-Steak》?"
"うーん、今さら見つからないと思うんです
――それなら神殿内の素材屋で買うか
神殿の外に出て敵を倒して手に入れる方が
手っ取り早いかなと思います","Hmm, finding it now seems unlikely.
Buying it from the Material Shop in the temple
or hunting outside would be faster."
"私なら外に出るのが怖いので
神殿内の素材屋で調達しますわ","Personally, I'd buy inside. Going
outside frightens me."
"《ケモノ生肉》を手に入れるなら――
神殿内の素材屋で買うか
神殿の外に出て敵を倒して手に入れる方が
手っ取り早いかなと思います","To obtain 《Beast-Steak》, buying from the
Material Shop inside or hunting outside
would be fastest."
"私なら外に出るのが怖いので
神殿内の素材屋で調達しますわ","Personally, I'd buy inside. Going
outside frightens me."
"――ああ、さっきの覚者さん！
《ケモノ生肉》ならうちで取り扱ってるよ
よかったら買ってってくださいよ","Ah, the Arisen from earlier!
We carry 《Beast-Steak》 here.
Please buy some if you like."
"おや、覚者さま
もしかして見つけてくださいましたか","Oh, Master Arisen. Did you find it?"
"――本当に助かりました
これで一安心です、無くしたその方には
後でお渡しできそうです","You've been a great help. 
I can return the item to its owner later."
"わたしら宿屋では、休んでいただく宿泊以外にも
死亡された覚者さまの《弱化の治療》も
行っております","Besides lodging, our Inn can also
 《Treat Weakness》 for fallen Arisen."
"《弱化の治療》は、回が増すごとに
治療が難しくなるため、値上がりするのはご容赦を
日をまたげば元に戻るのですが――","《Treat Weakness》 becomes harder
and more expensive with each occurrence.
It resets daily, but..."
"最近は戦争も活発になってきたので
戦場で倒れる覚者さまも多くなりました
あなたも十分お体にはお気をつけを
その時はいつでも利用してくだされ","With the war intensifying, 
more Arisen are falling in battle.
Be careful, and visit us if needed."
"わたしら宿屋では、宿泊以外にも
覚者さまが、復活力を失い力尽きた時におこる現象
《弱化の治療》もおこなっております","Beyond lodging, we 《Treat Weakness》,
weakness is a condition affecting Arisen
who exhaust their Revival power."
"体力の低下、その他お体に不調があるときは
いつでも宿屋をご利用くだされ","Visit us anytime for weakened vitality
or other debilitations."
"無事解決できてよかったですわ！
バザー取引の方も定期的にご利用
お願いいたしますわ","Glad it's resolved! 
Please visit the Bazaar regularly
to purchase items."
"うちの店以外にも――
いろんな商品を取り扱ってる店があるから
興味があれば見て回るといいですぜ","Other shops here sell various goods...
Browse through them if interested."
"これで状況把握できましたので
レオさまに報告させて頂きますね","I'll report this to Leo now."
"いろいろ相談に乗って頂きありがとうございます！","Thank you for all your advice!"
