MsgJp,MsgEn,speaker,english,speaker,english,speaker
"また転職したら、いつでも来いよ
実戦前にまずは訓練だぜ","If you switch jobs again, drop by whenever. 
Training comes before actual battle.",Renton,,Renton,,Renton
"覚者とは試練に臆することなく立ち向かい
その使命を全うする者のことだ",An Arisen faces trials without fear and fulfills their duty,Wilson,,Wilson,,Wilson
"与えられた試練を全てこなせた者のみ
《魔攻の証》を得ることができる","Only those who complete all trials
may obtain the 《Sorcerer's Mark.》",Wilson,,Wilson,,Wilson
"各試練のやり方について
わからなければ、今までに得た知識を
確認しながら臨むがいい","If unsure about any trial, review the knowledge you've gained so far",Wilson,,Wilson,,Wilson
"技や動きの参考のため
一人、共闘の兵をつけておこう
課題をこなす中で戦技を身に刻め！","For reference, I'll assign a Pawn to fight alongside you. Master combat skills during the trial!",Wilson,,Wilson,,Wilson
"与えられた試練を全てこなせた者のみ
《魔攻の証》を得ることができる","Only those who complete all trials
may obtain the 《Sorcerer's Mark.》",Wilson,,Wilson,,Wilson
"各試練のやり方について
わからなければ今までの得た知識を
確認しながら臨むがいい","If unsure about any trial, review the knowledge you've gained so far",Wilson,,Wilson,,Wilson
"また立ちはだかる魔物が
課題中にすべていなくなったら
再度出直してくるがいい","If all fiends in the trial vanish, return and try again later",Wilson,,Wilson,,Wilson
"さあ、《修練の祠》へ行くんだ
案内人は神殿を出て左手を進めば
崖の上の祠内にいるよ","Now go to the Training Chapel.
Your guide is up the cliff -
leave the temple and head left.",Renton,,Renton,,Renton
"《魔攻の証》、よくぞ得た！
ジョブについての理解も、さらに深まったようだな
神殿に戻りレンテンに報告するがいい、覚者よ！","You've obtained the Sorcerer's Mark! 
Your understanding
of the job has deepened.
Return to the temple and
report to Renton, Arisen!",Wilson,,Wilson,,Wilson
