old,new,speaker,english,speaker,english,speaker
次から次へと来るぞ！　体力に気をつけろ,"'Tis one after the other! Heed
your stamina!",Leo,,Leo,,Leo
ひとりで全部倒してしまえ！　遠慮は無用だ！,"Fell them all with reckless
abandon!",Leo,,Leo,,Leo
いいぞ！　その調子だ！,Good! Keep it up!,Leo,,Leo,,Leo
ほら、来てるよ！　やっちゃえ！,"There, more of them! Charge!",Iris,,Iris,,Iris
もう、鼻が曲がる～！　さっさと終わらせよう！,"Ah, my poor nose...! Let's finish
this quickly!",Iris,,Iris,,Iris
いいねえ！　あとはまかせちゃおうかな,Nice! I owe you one!,Iris,,Iris,,Iris
いい調子だぞ！,We're doing good!,Leo,,Leo,,Leo
敵は残り少ないぞ！　押せ！,Their numbers dwindle! Finish it!,Leo,,Leo,,Leo
追い風に乗れ！,Make use of our advantage!,Leo,,Leo,,Leo
くそっ！　敵、増兵だ！,Blast! Enemy reinforcements!,Leo,,Leo,,Leo
増援だ！　気を引きしめろ！,Reinforcements! Steel yourself!,Leo,,Leo,,Leo
まだいたのか！,There are more still!,Leo,,Leo,,Leo
もう少しだよ！,Just a bit more!,Iris,,Iris,,Iris
いい感じ！　このまま！,Good! Like that!,Iris,,Iris,,Iris
優勢優勢！,Strength! Power!,Iris,,Iris,,Iris
まだいたか！　くう～！,More of them!? Grrr!,Iris,,Iris,,Iris
残念、敵が増えちゃった！,I'm afraid they've grown in number!,Iris,,Iris,,Iris
あーあ、敵、増援だ！,Oh no... Enemy reinforcements!,Iris,,Iris,,Iris
頼りにしてるぞ、新人！,"You're up, newcomer!",Cyrus,,Cyrus,,Cyrus
ここまで攻め込まれるとは――不覚！,They were foolish to invade this far!,Cyrus,,Cyrus,,Cyrus
"オークはまだまだいる！
一匹残らず倒すぞ！","Orcs still remain!
Fell them to the very last!",Talcott,,Talcott,,Talcott
"さすが、レオ隊長が見込んだ新人だな！
このまま砦を掃除するぞ！","Leo was right to about you, as ever!
We'll clean the fort in no time!",Talcott,,Talcott,,Talcott
敵には<COL ff7575><KCT ATTACK1>／<KCT ATTACK2></COL>で基本攻撃！,"Use <COL ff7575><KCT ATTACK1>/
<KCT ATTACK2></COL> to attack enemies!",Leo,,Leo,,Leo
さらに<COL ff7575><PADM><KCT WEAPON_SUB>を押しながら</PADM><KEYM><KCT SKILL_CUSTOM3></COL>か</KEYM>,"さらに<COL ff7575><PADM><KCT
WEAPON_SUB>を押しながら</PADM><KEYM><KCT
SKILL_CUSTOM3></COL>か</KEYM>",Leo,,Leo,,Leo
<COL ff7575><PADM><KCT ATTACK1></PADM><KEYM><KCT SKILL_CUSTOM1></KEYM></COL>でカスタムスキルだ！,"Use <COL ff7575><PADM><KCT
ATTACK1></PADM><KEYM><KCT
SKILL_CUSTOM1></KEYM></COL>
to perform custom skills!",Leo,,Leo,,Leo
<COL ff7575><PADM><KCT WEAPON_MAIN>を押しながら</PADM><KEYM><KCT SKILL_CUSTOM4></KEYM></COL>でもOKだ！,"<COL ff7575><PADM><KCT
WEAPON_MAIN>を押しながら</PADM><KEYM><KCT
SKILL_CUSTOM4></KEYM></COL>でもOKだ！",Leo,,Leo,,Leo
技は画面右下のガイドで確認してくれ！,"Your skills are shown at the bottom
right of your screen!",Leo,,Leo,,Leo
オークや大型の敵には近づき、<COL ff7575><KCT TOUCH></COL>でしがみついて攻撃だ！,"To grab your enemies, press <COL ff7575><KCT
TOUCH></COL>,
which can even be used to climb Orcs and
other larger foes!",Leo,,Leo,,Leo
走る時は<COL ff7575><PADM>移動方向に<KEYN L_STICK>を倒しながら押し込み<KEYM>初期設定の場合、同じ移動キー２回押し</KEYM></COL>でダッシュだ！,"While running, <COL ff7575><PADM>press down on
the<KEYN L_STICK>while pushing in a
direction<KEYM>with the default setting,
tap the same directional key twice</KEYM></COL>
to sprint!",Leo,,Leo,,Leo
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
