old,new,speaker,english,speaker,english,speaker
"どれひとつとして、欠けてはいけない
――いいな？
すべてを尊重し、慈しむのだ","None of them should be missing.
-- alright?
Respect and care for all of them.",Joseph,,Joseph,,Joseph
"僕はクラウス
ジョゼフ様の助手さ
まあ、使いっ走りみたいなものだね","I am Klaus,
the assistant of Master Joseph.
Well, I suppose I'm more like a errand boy.",Klaus,,Klaus,,Klaus
"え？　
いやいや、僕は覚者じゃないんだ","Huh? No, no, I'm not an Arisen.",Klaus,,Klaus,,Klaus
"覚者たちのほとんどは神殿の外――
レスタニアのあちこちを駆け巡っているよ","Most of the Arisen are outside the temple - 
running around Lestania.",Klaus,,Klaus,,Klaus
"もちろん、レオが一声かければ
大勢の覚者が集まるわけだけど","Of course, if Leo were to call out,
many Arisen would gather together.",Klaus,,Klaus,,Klaus
"ところで君は《ブラッドオーブ》を知ってるかい？
白竜様に捧げると石化の進行を
食い止めることができるんだ","By the way, do you know about the ""Blood Orb""? 
If you offer it to Lord White Dragon, 
you can halt the progression of petrification.",Klaus,,Klaus,,Klaus
"でも、なかなか手に入らなくてさ
《ブラッドオーブ》のことは
いつでも頭の片隅で気にしておくといい","But, it's quite hard to get, you know.
It's good to always keep the thought 
of the 《Blood Orb》
in the back of your mind.",Klaus,,Klaus,,Klaus
"わたしは白衛騎士団――通称白騎団の
団長を拝命しているゲルトだ","I am Gerd, 
the Commander of the White Guard Knights, 
also known as the White Knights.",Gerd,,Gerd,,Gerd
見たところ、貴殿は覚者になって日も浅いようだ,"From what I can see, 
t seems that you have recently become an Arisen.",Gerd,,Gerd,,Gerd
"これから見聞を広げるのだろうが、
先輩たち――特に覚者から、くだらない偏見を
吹き込まれないようにな","You're about to broaden your horizons,
but make sure not to let the seniors,
especially among the Arisen, instill
foolish prejudices in you.",Gerd,,Gerd,,Gerd
"残念なことに覚者の中には
我々騎士団を下に見る者もいる
例えば、こんな陰口をきいたことはないか？","Unfortunately, among the Arisen, there are 
those who look down upon our knight order. 
Have you ever heard such slander such as this?",Gerd,,Gerd,,Gerd
"ミミズのフンほどのわずかな報酬のために
騎士になった者がいる――","There are those who become knights 
for the sake of a reward as meager as worm dung.",Gerd,,Gerd,,Gerd
違うぞ！　断じて違う！,That's not true! Absolutely not true!,Gerd,,Gerd,,Gerd
"我々は全て、白竜様のために
レスタニアのために！
そこに生きる人々のために剣と命を捧げたのだ","For the sake of the White Dragon,
and for the sake of Lestania!
We have devoted our swords and lives
for the people who live there.",Gerd,,Gerd,,Gerd
貴殿たち覚者のように、運命でも使命でもなく――,"Like you, noble Arisen, not bound by fate or purpose--",Gerd,,Gerd,,Gerd
"戦いに背を向けることもできたのに
それをいさぎよしとせず、騎士になる道を選んだ
意志と奉仕の塊が、我々白衛騎士団なのだ","Even though we could have turned 
our backs on the fight,
we chose the path to become knights.
The embodiment of will and service, 
we are the White Guard Knights.",Gerd,,Gerd,,Gerd
"もし、貴殿の態度にナめた様子があれば
容赦なく思い知らせてやるからな","If I see any nonsense in your attitude,
I will show you no mercy.",Gerd,,Gerd,,Gerd
"ええと――
自己紹介はしたんだっけ？　まだだっけ？
ま、いいか――わたしはイリス","Um... Did I introduce myself? Or not yet?
Well, it's okay... I'm Iris.",Iris,,Iris,,Iris
"たいていはレオとつるんでいて
あちこち走り回っているの","I usually hang out with Leo and 
run around here and there.",Iris,,Iris,,Iris
"覚者の連絡係みたいなものだね
結構大変な仕事だから頼りになりそうなら
仕事、譲ってもいいよ","It's like I'm the Arisen's liaison.
It's quite a demanding job,
so if you seem reliable,
I might pass it on to you.",Iris,,Iris,,Iris
"覚者ってさ、みんな基本的に、バラバラに
生きているんだよね","The Arisen, you know, everyone basically lives
their own lives, scattered all over the place.",Iris,,Iris,,Iris
"心臓が時を刻まないから、時間が幾らでも
あるでしょ？
だからさ、いろんなこと考えちゃうんだ","Since your heart doesn't beat time, 
you have all the time in the world, right?
That's why you think about all sorts of things.",Iris,,Iris,,Iris
覚者とは？人生とは？自分って何？とかさ,"What is an Arisen? 
What is life? 
What is self? 
I wonder.",Iris,,Iris,,Iris
"もちろん、白竜を守るのが本業だけど
その守り方も、ただ戦うだけじゃなくて
覚者ならではの方法を探すべき――とか
いろいろな考え方があるわけよ","Of course, 
protecting the White Dragon is our main duty,
but our approach to protecting it isn't just about 
fighting.

As Arisen, 
we should seek out methods unique to us――
there are various ways of thinking, you know.",Iris,,Iris,,Iris
"覚者も騎士団みたいにビシッと組織にした方が
いいって意見もあるけど――
どうなんだろうね","There are also opinions that it would be better 
to organize the Arisen like a knight order and 
be more organized.
I wonder how that would be.",Iris,,Iris,,Iris
あ、わたしは深く考えない派なので、よろしく！,"Ah, I'm not the type to think deeply, so, 
nice to meet you!",Iris,,Iris,,Iris
"白竜様が力を取り戻すまで
わたしたちが世の理を守らねばなりません","Until Lord White Dragon regains his power,
we must protect the order of the world.",Mysial,,Mysial,,Mysial
"特に、覚者の皆さんの責任は重大です
白竜様のご期待をゆめゆめお忘れなく","In particular, the responsibility of 
all the Arisen is significant. 
Please never forget the 
expectations of Lord White Dragon.",Mysial,,Mysial,,Mysial
"他の連中とも話して
顔を覚えてもらうんだな","I'll talk to the others
and make sure they remember your face.",Leo,,Leo,,Leo
"レオがこんなに世話をやくなんて
どういう風の吹き回しだろうね
よっぽどあんたが気に入ったらしいよ","Leo is really taking care of you.
I wonder what's got into him.
Seems like he really likes you.",Iris,,Iris,,Iris
あのさぁ――,"Hey, you know...",Klaus,,Klaus,,Klaus
"神殿以外にも《拠点》があるのは
知っているよね？","Did you know that there are 
other locations outside of the temple?",Klaus,,Klaus,,Klaus
"村だったり、特別な施設があったり――
そこの住人が助けを求めていたり――","It could be a village, or a special facility,
where the residents are looking for help--",Klaus,,Klaus,,Klaus
"いろいろあるから、時間があるなら
あちこち行ってみた方がいいよ","There's a lot going on, so if you have the time,
you should go all over the place.",Klaus,,Klaus,,Klaus
"ここんところジョゼフ様が老け込んじゃって
結構重要な仕事を任せてもらえるようになったんだ","Master Joseph has been getting old these days,
so I've been entrusted with quite important tasks.",Klaus,,Klaus,,Klaus
"うれしいけど――重圧もあってさ――
時々、話しを聞いてくれるとうれしいな","I'm glad you're here -- 
but I'm also under a lot of pressure.
I'd love it if you'd talk to me from time to time.",Klaus,,Klaus,,Klaus
"レオに期待されるということは――
危険な場所に行く機会が多いということだ
精進と用心を忘れなさんな","What Leo expects is that you have a lot 
of opportunities to go to dangerous places.
Do not forget diligence and caution.",Joseph,,Joseph,,Joseph
"オークどもとの戦争が続く限り
背中を預け合って戦う機会がすぐに来る
貴殿の力はその時に見せてもらおう","As long as the war with the Orcs continues,
the opportunity to fight 
shoulder to shoulder will come soon.
I look forward to seeing your strength 
at that time.",Gerd,,Gerd,,Gerd
"白竜様は一日の多くを眠って過ごしますが
ごくわずかながらお目覚めの時もあります
そんな時は、お話だってできますよ","Lord White Dragon spends much of the day sleeping,
but there are also moments when he wakes up,
and during those times, 
he can have a conversation with you.",Mysial,,Mysial,,Mysial
"まあ、最初のうちは言われるがままに
戦っていればいいさ","Well, in the beginning, 
just do as you're told and fight.",Leo,,Leo,,Leo
"そのうち、自分なりの生き方が
見えてくるはずだ","Eventually, 
you should be able to see your own way of living.",Leo,,Leo,,Leo
どれどれどれ？,"Hmm, I wonder...",Iris,,Iris,,Iris
"レオはあんたのどこが気に入ったのかな？
それともただの気まぐれか――なんてね","What does Leo like about you?
Or is it just a whim?",Iris,,Iris,,Iris
君はどんな覚者人生を歩むんだろうね,"I wonder what kind of life as an 
Arisen you will lead.",Klaus,,Klaus,,Klaus
"冒険者みたいな生き方もいいけど
僕としては神殿のために尽力して欲しい――","You can live like an adventurer,
but for my part, 
I want you to do your best for the temple--",Klaus,,Klaus,,Klaus
いや、最近、少ないんだよね、そういう覚者,"No, there aren't many of those Arisen these days.",Klaus,,Klaus,,Klaus
"ここで見聞したことを外で話す時は
その判断を慎重に行うようにな","Be careful about your judgment when 
talking about what you have seen here outside.",Joseph,,Joseph,,Joseph
"秘密は可能な限り少なくしたいが
内容によってはそうもいかん","I want to minimize the secretkeeping 
as much as possible, 
but depending on the subject, 
it may not be possible.",Joseph,,Joseph,,Joseph
"どうした？　時間を持て余しているのなら
オークの一匹でも倒してくるがいい","What's wrong? If you're just wasting time, 
go ahead and defeat even one Orc.",Gerd,,Gerd,,Gerd
"戦士に大切なことは
百の無駄口より剣のひと振り――忘れるな","The important thing for a warrior is 
the swing of a sword, not empty words――
don't forget.",Gerd,,Gerd,,Gerd
