old,new,speaker,english,speaker,english,speaker
"こちら少々“いわく付き”の品なので
あまり表には出していないのですがね――
へっへへ、他ならぬ覚者さんの頼みですからねぇ
ええ、交換とさせていただきましょうか","This here is a bit of “cursed” item, so I don't 
put it on display. Heh heh, but since it’s 
your request, Ser, I will allow it. 
Shall we proceed with a trade?",Gregory,,Gregory,,Gregory
"そりゃ、いくら覚者さんといえど
タダで差し上げるわけにはいきませんよ
相応の品をお持ち下されば
その対価としてお譲りいたしますとも――へへ","Well, even for you, Ser, I can't just give 
this away for free. Bring me something of 
equal value, and I shall part with it— 
heh heh.",Gregory,,Gregory,,Gregory
"持ってきていただく品物は――
そうですね、今しか手に入らない
《おばけマシュマロ》でいかがです
なんでも、魔物を倒すと手に入るそうで","The item you need to bring me is— 
let's see, how about some 
《Ghost Marshmallows》, which can 
only be obtained now? I hear they 
can be found by defeating monsters.",Gregory,,Gregory,,Gregory
"おお、とてもよくお似合いで――
ただし、以前にも申しました通り
そのランタンは多少“いわく付き”の品でして
あやしげなものを照らす際には、ご注意を","Oh, it suits you very well— 
however, as I mentioned before, 
that lantern carries a bit of a 
""reputation."" So do take care when 
using it to illuminate anything suspicious.",Gregory,,Gregory,,Gregory
"おおお、それがゴーストランタンか！
早速シェリーちゃんを照らして
――と思ったのだが、当のシェリーちゃんが
どこかへ行ってしまったのだ","Ah, so this is the Ghost Lantern! 
I intended to illuminate Ms. Shelly 
immediately— but alas, it appears 
that she has wandered off 
somewhere. Where could she be now?",Angelo,,Angelo,,Angelo
"追いかけたのだが、フラフラしてる割に
意外と足が速くて――
み、見失ってしまって――","I tried to pursue her, but despite 
being a bit wobbly, she's surprisingly 
fast— I ended up losing track of 
her, and now she's nowhere to be found— 
Where could she possibly be?",Angelo,,Angelo,,Angelo
"方向的にはテル村の方へ
行ったんじゃないかと思うんだがね
――頼む、彼女を探してきてくれ！","I think she went
in the direction of Tel Village.
--Please, go find her!",Angelo,,Angelo,,Angelo
"ああ、覚者さん
ついさっき、不思議な恰好の美女が
ブツブツ独り言を言いながら
井戸の方に歩いていったのを見たんだよ","Ah, Ser, just a moment ago, I saw a 
beautiful woman in strange attire muttering 
to herself as she walked towards the well— 
It was quite the sight, I assure you— 
She seemed rather lost in thought.",Norman,,Norman,,Norman
"何事かと思って後を追ったんだけど
いくら覗いても井戸の中には
誰もいないんだ","Curious about what was happening, 
I followed her, but no matter how much I peered 
into the well, there was no one inside— 
It was as if she had vanished into thin air.",Norman,,Norman,,Norman
"真っ暗だし、探すのをやめて出てきたよ
何か明るく照らすものがないとダメだな","It was so dark that I gave up searching and 
came out. I need something bright to 
shine a light on the situation; without 
it, searching is futile in this darkness.",Norman,,Norman,,Norman
"そこの井戸に女性が入っていくのを見たけど
暗くて何も見えないから、
何か明るく照らすものをもって行った方がいい","I saw a woman go into that well, but 
it’s too dark to see anything. 
You’d best take something bright 
to illuminate the area if you plan 
to look around there.",Norman,,Norman,,Norman
"ナ、ナアニ？　コンナトコロマデ――
ワタシニ、ナニカヨウ？","Wh-What? You came all the way 
to a place like this to ask me 
something? What is it you seek?",Shelly,,Shelly,,Shelly
"ココニハ、アヤシイモノナンテ
ナニモナイワ
――シンジテクレルワヨネ？","There’s nothing strange here, 
I promise. You believe me, 
don't you? I'm telling the truth.",Shelly,,Shelly,,Shelly
信じない,Don't believe,Shelly,,Shelly,,Shelly
信じる,Believe,Shelly,,Shelly,,Shelly
"アラ、ウフフフ
オホホ――ァアハハハハハ","Oh my, hehehe! 
Hoho—ahhahahaha!",Shelly,,Shelly,,Shelly
"バレテイタノネ
ミノガシテアゲヨウト
オモッタノニ","So I was found out, huh? 
I thought I would let you 
go free, but it seems 
that's not possible.",Shelly,,Shelly,,Shelly
ソウヨ、ワタシハしぇりーヨ,"Yes, that’s me, Shelly.",Shelly,,Shelly,,Shelly
"あら？　私、どうしてこんなところに？
おかしいわねぇ、アンジェロと一緒に
今年のハロウィンをお知らせに来たはずなのに","Huh? What am I doing in a place 
like this? It’s odd, I was meant to 
go with Angelo to share 
the news of this year’s Halloween.",Shelly,,Shelly,,Shelly
"珍しいお菓子を拾おうと思ったら
急に目の前に――誰かのドレスのすそが見えて――
その先をよく覚えてないわ","I was going to pick up a rare sweet 
when suddenly right in front of me, 
I saw the hem of someone’s dress. 
But I can't quite remember what 
happened next.",Shelly,,Shelly,,Shelly
"とにかく、早くレスタニアに戻って
アンジェロとハロウィンの準備をしなきゃね！
先に戻ってアンジェロにもそう伝えてくれるかしら","In any case, I must hurry back to 
Lestania to prepare for Halloween with 
Angelo! Could you please 
go ahead and let Angelo know that?",Shelly,,Shelly,,Shelly
"先に戻ってアンジェロに伝えてくれない？
私もすぐ帰るからって","Would you mind returning to 
inform Angelo first? I'll be there shortly.",Shelly,,Shelly,,Shelly
"おお！　シェリーちゃんが帰ってきた！
しかも、様子がおかしかった原因も
無事に解決したようじゃないか！","Oh! Ms. Shelly has come back! 
And it seems that the reason for 
her odd behavior has been 
safely resolved!",Angelo,,Angelo,,Angelo
"君に頼んで正解だった
いやー助かった、本当にどうもありがとう
正直怖くてどうしようかと思ったよ","It was the right choice to ask you. 
You've really saved me, truly, 
thank you so much! Honestly, 
I was so scared and didn't know 
what to do.",Angelo,,Angelo,,Angelo
"さっ、今年も楽しくおいしい
ステキなハロウィンを始めようじゃないかッ！","Let's have a fun and delicious
Halloween again this year!",Angelo,,Angelo,,Angelo
"魔物を倒して、お菓子をたくさん集めたら
あの鑑定交換のおじさんのところに行くといい","After defeating monsters and 
collecting lots of treats, 
it would be best to visit 
that appraisal exchange fellow.",Angelo,,Angelo,,Angelo
"フフフ、彼には事前に“景品”になるものを
準備してもらっておいたのだ
食べてよし、交換してよしのハロウィン
楽しんでくれたまえ！","Hehe, I arranged for him to prepare 
some ""gifts"" in advance. 
You can eat them or trade them for 
Halloween fun. Enjoy, Ser!",Angelo,,Angelo,,Angelo
"――「いわく付きの物を処分するいい機会」とか
言っていた気もするが、彼なりのジョークだろう
い、一応は実際に見て確かめておいた方が
いいかもしれないがね","I recall him saying it was a 
great opportunity to dispose of 
""haunted items,"" which I suppose 
was his way of joking. Still, 
it might be wise to check for 
myself, just to be safe.",Angelo,,Angelo,,Angelo
"アンジェロに心配かけちゃったわ
彼ったらずいぶんうろたえたみたい","I'm so sorry I worried Angelo.
He looks so upset.",Shelly,,Shelly,,Shelly
"あ、そうそう
あの不思議なカボチャの被り物
私には似合わないからあなたに上げるわ","Ah, right! That strange pumpkin 
headpiece doesn't suit me, so 
I'll give it to you instead.",Shelly,,Shelly,,Shelly
"そうそう、ゴーストランタン以外にも
いろんな“いわく付き”のものを取り揃えております
気になるものがあれば、お菓子と交換いたしますよ","Yes, indeed! In addition to the 
ghost lantern, we have a variety 
of ""cursed"" items for you to 
choose from. If something 
interests you, I can trade it for some treats!",Gregory,,Gregory,,Gregory
ああシェリーちゃん、一体どうしちゃったんだ,"Oh, Shelly, what in the world 
has happened to you...",Angelo,,Angelo,,Angelo
"ワスレモシナイ　キョネンノイマゴロ――オマエタチハ
ワタシノアツメタ、くっきートきゃんでぃーヲ
ネコソギウバッテイッタノヨ！
コトシコソ、ウバウガワニ――！","Remember, this time last 
year— you all snatched the 
candies I collected! This year, 
I’ll reclaim what's mine—!",The White Dragon,,The White Dragon,,The White Dragon
