"Jp","En","english","speaker"
"どうだろう――
エルテ・ディナンへ行って、森の異変の
原因を探って欲しいんだ
もちろん、解決してくれれば最高だよ","What do you say... Head to Erte Deenan
to uncover why the forest changed.
Fixing it would be ideal, naturally.","","Rondejeel"
"エルテ・ディナンで一体何が起きているんだろう
どうも胸騒ぎがするんだ","What's really occurring in Erte Deenan?
Something feels wrong about this...","","Rondejeel"
"キースヒルトか――
話は聞いてるけど――ああ、会いたかったな","Kieshildt, huh...
I've heard the stories.
Ah, I wish I could've met them.","","Lise"
"ねえ、隊長？","Hey, Captain?","","Lise"
"この森、この古い街――
エルフの代わりに、わたしたちが
守っていかないとね","This forest, this ancient city—
we must protect it in place of the elves.","","Lise"
"ねえ、神殿へ帰ろう
ジョゼフ様に報告しなくちゃ","Hey, let's go back to the temple.
We have to report to Master Joseph.","","Lise"
"キースヒルトはもういない――
――もういないって","Kieshildt is gone...
Gone forever.","","Mayleaf"
"何度自分に言いきかせても
信じることができなかったんだ","No matter how many times I told myself,
I couldn't bring myself to believe it.","","Mayleaf"
"でも――無理して信じることなんて
ないんだよね","But... 
you can't force yourself to believe something.","","Mayleaf"
"わたしには世の不思議も
――難しいこともわからないけど
とにかく、みんなが無事で良かったわ","Though I can't grasp life's mysteries
or difficult matters, at least I'm
thankful everyone came out unharmed...","","Pamela"
"キースヒルトが小鳥を使って君たちを
動かしたなんて、どうにも信じられないね","I can't truly believe Kieshildt used birds
to manipulate you all like that.","","Klaus"
"理屈をつけるとしたら――
うん――エルフはとてつもなく長命だから
その思いが、巡る竜力に濃く残る――","If I had to explain it... 
Hmm...
Elves live for incredibly long spans, making
their feelings persist in the Dragon Force.","","Klaus"
"その結果――なんてのはどうかな","Right... how about something like that?","","Klaus"
"ゲルトから話は聞いた
ご苦労だった","I heard about it from Gerd.You did well.","","Joseph"
"オークの件はなんらかの対処が必要だな
ヴァネッサに伝えておこう","Something needs to be done about the orcs.
I'll let Vanessa know.","","Joseph"
"それにしてもキースヒルトか――
まったく、エルフは不思議な種族だな
もっと話したかったわ","Still, Kieshildt...
Elves truly are a mysterious race.
I wish we could have talked more.","","Joseph"
