"Jp","En","english","speaker"
"覚者さん――！
ご無事でなによりです
僕、レジスタンスメンバーの<NPC 3252>です","Arisen--! It's a relief to see you safe. 
I'm <NPC 3252>, a member of
the resistance.","","Shem"
"――あれ？
メフィスさんは一緒じゃないんですか？","--Huh? Where's Mephis?","","Shem"
"――――あっ","....... Ah.","","Shem"
"帰ってきましたよ――ん？
誰か連れてますね","You're back... Oh?
I see you brought someone with you.","","Shem"
"自己紹介が遅れたな
俺はメフィス、ここのリーダーをやっている","Took me a while to introduce myself.
I'm Mephis, the leader here.","","Mephis"
"お前がオークに襲われたのは偶然ではないだろう
クルト侯爵はオークと関係しているという噂もある
ナヴィド・クルト――
あいつがけしかけたのさ、間違いない","It was no coincidence the orcs
attacked you. There are rumors Marquis
Kurt is involved with the orcs.
Navid Kurt... he's behind this, no doubt.","","Mephis"
"お前はオークにとって一番の厄介者だ
ナヴィドはどんな汚い手を使ってでも
消そうとするだろう
邪魔な者は、誰だろうとな――","You're the biggest thorn in the orcs' side.
Navid will try to erase you by any means,
no matter how dirty the methods.
Anyone who gets in the way— no matter who.","","Mephis"
"俺達は、ナヴィド・クルトを打ち倒すために
集まったレジスタンス組織なんだ
数えきれないその悪事を暴き
奴を失脚させるために情報と仲間を集めている","We are a resistance organization gathered
to strike down Navid Kurt. We uncover his
countless misdeeds and gather intel and
allies to bring him down.","","Mephis"
"メガド占領のせいで
メンバーはこれだけに減ってしまったが――
悪事の証拠と人手さえ集まれば
行動に移すつもりだ","The occupation of Megado has reduced
our numbers to this--but once we have
enough evidence and manpower, we'll
make our move.","","Mephis"
"なぁ、俺達に力を貸してくれないか？
メガドの英雄であるお前が加われば
百人力なんだ","Hey, could you lend us your strength?
With you, the hero of Megado, on our side,
it'll be like having a hundred warriors.","","Mephis"
"レジスタンスに参加する","Join the resistance","","Mephis"
"覚者さんが加わったら――
ひょっとすると、メフィスさんの夢が
本当に叶うかもしれませんね","If Ser Arisen joins us―
perhaps Mephis's dream might
actually come true.","","Shem"
"覚者さん
これからよろしくお願いします！","Ser Arisen,
I look forward to working with you!","","Shem"
"うぅ――――","Ugh........","","Basit"
"――協力、感謝する","... We'd appreciate your cooperation.","","Mephis"
"――――ん？
この男が気になるか？",".... Hmm?
Does this person interest you?","","Mephis"
"コイツはさっき俺たちを尾行していた奴だ
裏道に回ったらあっさりと背を見せて
まんまと捕まってくれたぜ","This guy was tailing us earlier.
We caught him easily when he turned
down an alley and showed his back.","","Mephis"
"これから、お前にはこの男を
<COL ff2600>《尋問》</COL>してもらいたいんだ
――なに、恐ろしいことをする訳じゃない","You'll need to <COL ff2600>Interrogate</COL> this man.
... Nothing too gruesome, I promise.","","Mephis"
"奴から<NPC 681>に迫る情報を聞き出すんだ
詳細は――いや、またにしよう
今は英気をゆっくりと養ってくれ","Extract any information he has on <NPC 681>.
The details... never mind, save it for later.
For now, rest and recover your strength.","","Mephis"
