old,new,speaker
――内緒だよ、これ,--Don't tell anyone.,Iris
"なんの用だ――こう見えて忙しい
騎士は覚者ほど自由ではないからな","What do you want?
--Even though it may not seem like it, I'm busy. 
Knights aren't as free as Arisen, you know.",Heinz
どうした？　魔物は倒したのか？,What's up?　Did you defeat the demon?,Vanessa
"ヴァネッサはどうだった？
あまり待たせるなよ","How was Vanessa?
Don't keep me waiting too long.",Leo
"ご苦労だった
おまえが見事に魔物を倒したという
報告は受けている","Thanks for your hard work.
I've been informed
that you defeated the demon successfully.",Vanessa
"ひとつ確認しておきたいのだが
戦利品は《ブラッドオーブ》だったろう？","There is something I want to confirm.
The spoils were ""Blood Orbs,"" right?",Vanessa
"うむ、やはりな
その《ブラッドオーブ》は神殿に持ち帰って
白竜に捧げてくれ","Yes, as expected.
Please bring that 《Blood Orb》 back to the temple
and offer it to the White Dragon.",Vanessa
"白竜の回復が我々覚者の能力を引き上げ
ひいてはこの長き戦いに終止符を
打つことになるのだ","The recovery of the White Dragon will enhance our 
abilities as Arisen, and ultimately bring an end 
to this lengthy battle.",Vanessa
詳しいことは神殿のミシアルに聞くといい,"It is best to ask Mysial at 
the Temple for more details.",Vanessa
"ああ、知っているかもしれないが
我々は《リム》と呼ばれる力を使って
この身体を遠方へ転移することができる","Ah, you may already know this, 
but we can use a force called ""Rift Crystal"" to 
transfer our bodies to distant places.",Vanessa
"つまり、無用な体力を使わずに
拠点間を往来できるというわけだ
もちろん神殿へも一瞬で帰ることができる","This means that you can go back and forth between
locations without using unnecessary energy
and of course return to the temple in an instant!",Vanessa
覚えておくといい,I hope you remember.,Vanessa
"リム転移は試してみたか？
わたしは実際に移動する方が好みだがな","Have you tried using Rift Teleport?
I prefer actually moving around, though.",Vanessa
"ああ、戻ったのか
ご苦労だったな","Oh, you're back.
Thanks for your help.",Leo
"少し休んで――いや、その前に話しておこう
突然出現した巨大な建造物の話は聞いたか？","Get some rest--no, let's talk first.
Did you hear about the huge structure that 
suddenly appeared?",Leo
"我々はその場所を特定し――
アークと呼ぶことにした","We decided to call that place -
The Ark.",Leo
今、ジョゼフと一緒に調査隊の人選を進めている,"I'm working with Joseph right now 
to select people for the survey team.",Leo
"最初に言っておくが
おまえは俺と居残ってもらうぞ
砦からオークを追いだしたとはいえ
このあたりはまだ安全とは言えないからな","First off,
you're staying with me.
Even though we've driven the orcs out of the fort,
it's still not safe around here.",Leo
では、次の指示があるまで――！？,"Then, until the next orders—!?",Leo
"おいおい、《ブラッドオーブ》を持ち帰るとは
頼もしいじゃないか
よし、早速白竜に捧げてくれ","Hey, bringing back the ""Blood Orb"" is impressive.
Alright, offer it to the White Dragon right away.",Leo
《ブラッドオーブ》を手に入れたのですね,"You obtained the《Blood Orb》, didn't you?",Mysial
"それは白竜様の竜力が大地を巡るうちに
結晶化したものだと言われています","It is said that it is a crystallization 
that has been formed as Lord White Dragon's 
Dragon Force circulates the land.",Mysial
"体内にオーブを取り込んだ魔物には
わかりやすい目印があるそうですが
気がつきましたか？","There is a noticeable mark on the enemy that has 
assimilated an orb inside their body. 
Have you noticed it?",Mysial
"聞いたところによると――
その魔物の生命力が見える部分の色が
独特なのだとか","From what I've heard -
the colour of the visible part of that enemy's 
vitality is said to be unique.",Mysial
次回から気にしてみるといいかもしれませんね,You might want to keep that in mind next time.,Mysial
"《ブラッドオーブ》を白竜様に捧げると
オーブの竜力の作用で石化を一時的に
止めることができます","When you offer the Blood Orb to Lord White Dragon,
the power of the orb's Dragon Force 
can temporarily halt petrification.",Mysial
"同時に、あなた自身も竜力を
受け取ることができます
白竜様に《ブラッドオーブ》を届けた
ごほうびだと思ってください","At the same time, you can also take in the 
power of the dragon yourself. 
Please think of it as a reward for delivering the 
Blood Orb to Lord White Dragon.",Mysial
"これからも《ブラッドオーブ》を
持ち帰ってくださいね","Please continue to bring back the 
Blood Orbs in the future.",Mysial
さあ、《ブラッドオーブ》を白竜様へ！,"Now, let's deliver the 《Blood Orb》 
to Lord White Dragon!",Mysial
"これからより危険な頼みを任せたいんだが――
まだ覚者の戦い方と装備の準備不足のようだな","I want to assign you an even more dangerous task,
but it seems that you are still lacking in 
knowledge of how an Arisen fight, 
and in equipment preparation.",Leo
"そのために敵との戦い方について
白竜神殿の宿場区にいるレンテンから
戦術試練をちゃんと学べ","For that reason, learn how to fight against 
enemies properly from Renton in the 
Relay Station District of the White Dragon Temple 
and take the tactical trials seriously.",Leo
"十分な装備の準備については
セネカとイリスから物資調達とクラフトによる
装備強化を学び準備ができた上で声を掛けてくれ","For sufficient equipment preparation,
learn about material procurement and crafting 
for equipment enhancement from Seneca and Iris.
Once you're ready, let me know.",Leo
