old,new,english,speaker
<COL B6FF01>《集視》作戦として敵を引き付けよう</COL>,<COL B6FF01>Use the 《Attraction》 strategy as a diversionary tactic</COL>,,0
<COL B6FF01>《集視》前線への侵攻を開始</COL>,<COL B6FF01>《Attraction》Commence invasion of the front line</COL>,,0
<COL B6FF01>《守護》味方の守りを固めた、この機に攻撃を</COL>,"<COL B6FF01>《Protection》 strengthened the defense of allies, now is the time to attack</COL>'s",,0
<COL B6FF01>《守護》しばし、守りの構えを</COL>,<COL B6FF01>《Protection》Taking a defensive stance for a moment.</COL>,,0
<COL B6FF01>《蘇生》主よ、あなたをお守りすると誓ったはず</COL>,"<COL B6FF01>《Resurrection》 O Lord, I pledged to protect you.</COL>",,0
主よ、新たな特技を閃いた,"Lord, I have come up with a new Special Skill",,0
雇用された仲間の特技を習得,Learn the special skills of hired allies,,0
周辺にジョブ修練敵の気配を察知,Detecting the presence of job-training enemies in the vicinity,,0
修練敵、確認,Confirmation of training enemy,,0
主は修練を完了――ジョブマスターへの報告を,The Lord has completed the training - Report to the Job Master,,0
付近に貴重な宝の存在を確認,Confirmed presence of valuable treasure in the vicinity.,,0
周辺に希少な宝を感知――,Sensing rare treasure in the vicinity--,,0
主よ、速やかに周辺の探索を勧める,"Lord, I suggest a quick search of the area.",,0
この場所――何かが隠されている模様,This place--something is hidden here.,,0
この敵に遭遇するのは稀――速やかに討伐を,It is rare to encounter this enemy--defeat it quickly.,,0
予期せぬ相手に遭遇,Encounter with an unexpected opponent,,0
アイテムを入手――,Get the item--,,0
主の考えに沿うべく、戦術育成を,Tactical training to follow the Lord's idea.,,0
我が主よりあなたの戦功を聞いている,My Lord has told me of your war exploits.,,0
我が主との冒険についてお聞かせ願いたい,I would like to hear about your adventures with our Lord.,,0
承った,Got it.,,0
そのように,Like that,,0
これで戦えるかと,I thought I could fight with this.,,0
危険！,Danger!,,0
攻撃を回避,evading attack,,0
敵の弱点は炎,The enemy's weak point is fire.,,0
敵の弱点は氷,Enemy's weak point is ice,,0
敵の弱点は雷,The enemy's weak point is lightning,,0
敵の弱点は聖,The weakness of the enemy is holy,,0
敵の弱点は闇,The enemy's weak point is darkness.,,0
主よ、ここに何をお望みか,"Lord, what do you want here?",,0
いかなる状況であれ、お傍に,"No matter the situation, I'll be by your side",,0
"我が主よ、さらなる期待に沿えるよう、力を手に入れたい
速やかに私の願いを聞いていただけないだろうか――","My Lord, I would like to obtain power to meet your further expectations
Would you not promptly grant my request--?",,0
"新たな力を習得――主よ、今後
より的確にあなたをサポートする","Learning new powers - Lord, I will support you more precisely in the future.",,0
"我が主よ、冒険へ出るなら私を――
戦いがより冴えるよう
的確なサポートを約束する","My Lord, if you are going on an adventure, let me--
I promise to help you fight more effectively.
I promise you the right resources and the right support.",,0
