old,new,english,speaker
"覚者さま
かような深き森にある私どもへのお心遣い
感謝しきれるものではありません
ありがとうございます",,,Christine
"また、ささやかではございますが
お納めできる品を良質なものに
させて頂きました",,,Christine
どうか、今後ともよろしくお願いいたします,,,Christine
"覚者さま、エルフの地《ディナン深層林》に
続く山道が開通いたしました",,,Christine
"覚者さまが、魔物を退治してくださったお陰で
ガレキ撤去作業の進捗が
良くなったそうです",,,Christine
私から、あらためてお礼申し上げます,,,Christine
"さらに深き森、エルフ達の故郷を
どうぞご自身の目で確かめて来て下さい
ディナン山道は森林の最南部にございます",,,Christine
"覚者さま
イニアス湖東北にある《名もなき廃村》にて
おそろしき恨みの声を聞いたと
イヴァンから報せがありました",,,Christine
"あの方は、魔物や獣にはお強いのですが
幽霊、亡霊の類は大変苦手のご様子――",,,Christine
"どうか、イヴァンに代わり
亡者の類がさまよい出ることあらば
浄化いただけないでしょうか",,,Christine
"覚者さま
この森にとって、あなたはすでに大事な方",,,Christine
そして、私にとっても――,,,Christine
"あなたの尊き行いが
レスタニアのすべてに行きわたりますよう",,,Christine
"私も、可能な限りの支援にて
あなたのお役に立ちたいと思います
どうぞこれからも、この森へおいで下さい",,,Christine
"覚者さま、少し前
この森に白きキメラが姿を現したのです",,,Christine
"おそらく、あれは森小人達が聖獣と
崇める恐ろしの魔獣
《白獅子アルバス》――",,,Christine
"放置したならば、この森のみならず
リンウッドにまで被害をもたらす
かもしれません",,,Christine
"森の奥から姿を現したかの獣を
幸いにもイヴァンが撃退してくれました",,,Christine
"そして今獣が居るのは、《霊泉のテラス》奥
――《聖獣の間》
そこで力を蓄えている様子",,,Christine
"貴方さまにも魔獣の封じ込めに
ご助力いただけないでしょうか",,,Christine
"覚者さま、急いでお伝えしなければ
ならないことがあるのです",,,Christine
"ディナン山道の手前、森の南部にて
恐るべき巨人が姿を現したのです",,,Christine
"その巨人の名は《ヨトン》
ハンターを襲い、多くの覚者を亡きものにした
残忍なモルトロールです",,,Christine
"森のため、《ヨトン》の討伐を――！
どうかわたしからのこの依頼
お聞き入れくださいませ",,,Christine
"《弱化の治療》ですね、承りました
<VAL PRICE_WEAK>ほどご負担いただきますが",,,Christine
はい,Yes,,Christine
いいえ,No,,Christine
"あら、覚者さまは《弱化》ではありませんね
治療の必要はないようです",,,Christine
"覚者さま、あなたはこの深き森にとっても
大事なお方
どうぞお体の疲れを取っていって下さい",,,Christine
はい,Yes,,Christine
いいえ,No,,Christine
"ようこそ標の祠へ
お待ちしておりました覚者さま",,,Christine
"覚者さま、この深き森に置かれた《辺境の礎》も
このたび全て解放されたそうでございます",,,Christine
"《辺境の礎》はイヴァンの山小屋の近くにも
置かれているとのこと",,,Christine
"貴方さまの訪れを、きっとイヴァンも喜ぶはず――
ぜひ、お時間の許す際には
お顔を見せに行ってやってください",,,Christine
"あの無愛想な顔の下で、
あの方も貴方さまのことを
ずいぶん気に入っているようなのです",,,Christine
"覚者さま、今日は折り入って
ご相談したいことがございます",,,Christine
"イニアス湖の近辺、南の方角に
霞んだような人影が現れたと
イヴァンから報告がありました",,,Christine
"あの方は幽霊、亡霊の類が大の苦手とのこと――
それ以降、あの辺りには
近寄れないようなのです",,,Christine
"どうか、イヴァンに代わり
この人影を打ち払ってはいただけないでしょうか",,,Christine
"詳しくご説明いたしますので
ご出発の前には再度、私にお声掛けください――",,,Christine
"ここからディナン深層林へと進む途中に
新しく見つかりました《霧幻のテラス》――",,,Christine
"中から冷気が漏れ出でてくるような
不思議な遺跡です
冷たい霧に覆われていたせいで
今まで見つからなかったのかもしれません",,,Christine
"何か未知の危険があるかと思い
封鎖してまいりましたが、貴方さまならば
中を調べることも可能かと――",,,Christine
"足を踏み入れられる際は
くれぐれもご注意くださいませ――",,,Christine
"覚者さま、度々申し訳ございませんが
今回もお力をお借りできないでしょうか――",,,Christine
"実は先日、突如としてこの祠の前に
ミストドレイクが現れたのです",,,Christine
"幸い、イヴァンが訪れている時だったので
あの方が応戦してくださり
事無きを得ましたが――",,,Christine
"退けられた竜は、《霧幻のテラス》へと
去っていったとのこと",,,Christine
"どうか、竜が再びこの祠を
襲うことのないよう
あの遺跡内への封じ込めに
ご協力いただけないでしょうか",,,Christine
"覚者さま
この森にとって、あなたはすでに大事な方――",,,Christine
そして、私にとっても――,,,Christine
"あなたの尊き行いが
レスタニアのすべてに行きわたりますよう",,,Christine
"あなたのお役に立てるよう
私も最大限の支援をお約束いたしましょう
どうぞこれからも、この森へおいでください",,,Christine
"覚者さま
この森にとって、あなたはすでに大事な方",,,Christine
そして、私にとっても――,,,Christine
"あなたの尊き行いが
レスタニアのすべてに行きわたりますよう",,,Christine
"かような深き森にある私どもへの
お心遣い、感謝しきれるものではありません
ありがとうございます",,,Christine
"覚者さま
数々のご協力、痛み入ります",,,Christine
"覚者さま
ここを訪れて下さり――嬉しく存じます",,,Christine
"何かできることはと思い
この品を用意しました
気に入って頂けると良いのですが――",,,Christine
"覚者さま、これをお持ちください
イヴァンがあなたにと用意してくれたものです",,,Christine
"あの無愛想な方が、にこにことして
持ってきてくれました",,,Christine
"覚者さま、これをお持ちください
わずかでも旅の助けとなりましょう",,,Christine
